Store#_num,Store Location,Store Address Line 1,Store Address Line 2,Shipping Address Line 1,City,Province,Store Postal Code
49,"CALEDONIA, ON",365 ARGYLE STREET SOUTH,,365 ARGYLE STREET SOUTH,CALEDONIA,ON,N3W 1Z2
51,"KINCARDINE, ON",811 DURHAM STREET,,811 DURHAM STREET,KINCARDINE,ON,N2Z 3B8
52,"KIRKLAND LAKE, ON",146 GOVERNMENT RD. WEST,,146 GOVERNMENT RD. WEST,KIRKLAND LAKE,ON,P2N 2E9
53,"KITCHENER SOUTH, ON",385 FAIRWAY ROAD S.,,385 FAIRWAY ROAD S.,KITCHENER,ON,N2C 2N9
54,"NEW MINAS, NS",9212 COMMERCIAL STREET,,9212 COMMERCIAL STREET,NEW MINAS,NS,B4N 5J5
55,"LEAMINGTON, ON",262 ERIE STREET SOUTH,,262 ERIE STREET SOUTH,LEAMINGTON,ON,N8H 3C5
56,"LINDSAY, ON",377 KENT ST. WEST,BOX 240,"377 KENT ST. WEST,  BOX 240",LINDSAY,ON,K9V 2Z7
57,"LISTOWEL, ON",500 MITCHELL ROAD SOUTH,,500 MITCHELL ROAD SOUTH,LISTOWEL,ON,N4W 3G7
58,"LONDON SOUTH, ON",1125 WELLINGTON ROAD,,1125 WELLINGTON ROAD,LONDON,ON,N6E 1M1
61,"MIDLAND, ON",9303 COUNTY ROAD 93,HUGEL AVENUE,"9303 COUNTY ROAD 93,  HUGEL AVENUE",MIDLAND,ON,L4R 4K4
62,"GRAVENHURST, ON",431 TALISMAN DR.,,431 TALISMAN DR.,GRAVENHURST,ON,P1P 0A7
63,"MONCTON DIEPPE, NB",500 REGIS STREET,,500 REGIS STREET,DIEPPE,NB,E1A 5T2
64,"MONTREAL CREMAZIE & PAPINEAU, QC",2225 BOUL. CREMAZIE EST,,2225 BOUL. CREMAZIE EST,MONTREAL,QC,H1Z 4N4
65,"NAPANEE, ON",476 CENTRE STREET NORTH,NAPANEE MALL,"476 CENTRE STREET NORTH,  NAPANEE MALL",NAPANEE,ON,K7R 1P8
66,"MOUNT FOREST, ON",101 MOUNT FOREST DRIVE,,101 MOUNT FOREST DRIVE,MOUNT FOREST,ON,N0G 2L2
67,"NEW GLASGOW, NS",699 WESTVILLE ROAD,HIGHLAND SQ. MALL,"699 WESTVILLE ROAD,  HIGHLAND SQ. MALL",NEW GLASGOW,NS,B2H 2J6
68,"NEW LISKEARD, ON",997431 HWY #11 NORTH,,997431 HWY #11 NORTH,NEW LISKEARD,ON,P0J 1P0
69,"NEWMARKET, ON",17750 YONGE STREET,,17750 YONGE STREET,NEWMARKET,ON,L3Y 8P4
70,"THE QUEENSWAY, ON",1608 THE QUEENSWAY,,1608 THE QUEENSWAY,ETOBICOKE,ON,M8Z 1V1
71,"NIAGARA FALLS NORTH, ON",7190 MORRISON STREET,,7190 MORRISON STREET,NIAGARA FALLS,ON,L2E 7K5
72,"NORTH BAY, ON",890 MCKEOWN AVENUE,,890 MCKEOWN AVENUE,NORTH BAY,ON,P1B 8M1
73,"ORANGEVILLE, ON",99 FIRST STREET,,99 FIRST STREET,ORANGEVILLE,ON,L9W 2E8
74,"ORILLIA, ON",1017 BRODIE DRIVE,,1017 BRODIE DRIVE,ORILLIA,ON,L3V 7X6
75,"OSHAWA MID, ON",441 GIBB STREET,,441 GIBB STREET,OSHAWA,ON,L1J 1Z4
77,"OWEN SOUND, ON",1605 16TH STREET EAST,,1605 16TH STREET EAST,OWEN SOUND,ON,N4K 5N3
78,"PARRY SOUND, ON",30 PINE DRIVE,,30 PINE DRIVE,PARRY SOUND,ON,P2A 3B8
79,"PEMBROKE, ON",1104 PEMBROKE STREET EAST,,1104 PEMBROKE STREET EAST,PEMBROKE,ON,K8A 8S2
80,"PERTH, ON",45 DUFFERIN STREET,,45 DUFFERIN STREET,PERTH,ON,K7H 3A5
81,"PETERBOROUGH, ON",1200 LANDSDOWNE ST. WEST,,1200 LANDSDOWNE ST. WEST,PETERBOROUGH,ON,K9J 2A1
82,"PICTON, ON",13321 LOYALIST PARKWAY,BOX 6005,"13321 LOYALIST PARKWAY,  BOX 6005",PICTON,ON,K0K 2T0
83,"THUNDER BAY CENTER, ON",939 FORT WILLIAM ROAD,,939 FORT WILLIAM ROAD,THUNDER BAY,ON,P7B 3A6
85,"PRESCOTT, ON",140 PRESCOTT CENTRE DRIVE,P.O. BOX 2389,"140 PRESCOTT CENTRE DRIVE,  P.O. BOX 2389",PRESCOTT,ON,K0E 1T0
86,"RENFREW, ON",1050 O'BRIEN ROAD,,1050 O'BRIEN ROAD,RENFREW,ON,K7V 0B4
87,"RICHMOND HILL, ON",250 SILVER LINDEN DRIVE,,250 SILVER LINDEN DRIVE,RICHMOND HILL,ON,L4B 4W7
89,"ROUYN, QC",245 BOULEVARD RIDEAU,,245 BOULEVARD RIDEAU,ROUYN-NORANDA,QC,J9X 5Y6
90,"ST. CATHARINES, ON",431 LOUTH STREET,,431 LOUTH STREET,ST. CATHARINES,ON,L2S 4A2
91,"ST. MARYS, ON",84 WELLINGTON STREET SOUTH,BOX 2070,"84 WELLINGTON STREET SOUTH,  BOX 2070",ST. MARYS,ON,N4X 1C3
92,"ST. THOMAS, ON",1063 TALBOT STREET,UNIT 25,"1063 TALBOT STREET,  UNIT 25",ST. THOMAS,ON,N5P 1G4
93,"EDMUNDSTON, NB",590 VICTORIA STREET,,590 VICTORIA STREET,EDMUNDSTON,NB,E3V 3N1
94,"SARNIA, ON",1380 LONDON ROAD,LAMBTON MALL,"1380 LONDON ROAD,  LAMBTON MALL",SARNIA,ON,N7S 1P8
95,"SAULT STE. MARIE, ON",200 MCNABB STREET,,200 MCNABB STREET,SAULT STE. MARIE,ON,P6B 1Y4
96,"SHERBROOKE, QC","4100, BOUL. JOSAPHAT-RANCOURT",,"4100, BOUL. JOSAPHAT-RANCOURT",SHERBROOKE,QC,J1L 3C6
97,"SIMCOE, ON",142 QUEENSWAY EAST,SIMCOE MALL,"142 QUEENSWAY EAST,  SIMCOE MALL",SIMCOE,ON,N3Y 4Y7
98,"SMITHS FALLS, ON",10 FERRARA DRIVE,HIGHWAY 15,"10 FERRARA DRIVE,  HIGHWAY 15",SMITHS FALLS,ON,K7A 5K4
99,"SHAWVILLE, QC",431 148 ROUTE,,431 148 ROUTE,SHAWVILLE,QC,J0X 2Y0
100,"SWIFT CURRENT, SK",1811 MEMORIAL DRIVE,,1811 MEMORIAL DRIVE,SWIFT CURRENT,SK,S9H 5B7
101,"QUEBEC VANIER, QC","630, BOUL. WILFRID-HAMEL",,"630, BOUL. WILFRID-HAMEL",QUEBEC,QC,G1M 3P9
102,"STURGEON FALLS, ON",12011 HWY 17 EAST,,12011 HWY 17 EAST,STURGEON FALLS,ON,P2B 2S7
103,"STRATFORD, ON",1093 ONTARIO STREET,,1093 ONTARIO STREET,STRATFORD,ON,N5A 6W6
104,"STRATHROY, ON",24614 ADELAIDE ROAD,,24614 ADELAIDE ROAD,STRATHROY,ON,N7G 2P8
106,"SUSSEX, NB",138 MAIN STREET,GATEWAY MALL,"138 MAIN STREET,  GATEWAY MALL",SUSSEX,NB,E4E 3E1
107,"SYDNEY, NS",49 SYDNEY PORT ACCESS ROAD,,49 SYDNEY PORT ACCESS ROAD,SYDNEY,NS,B1P 7J1
108,"COLLINGWOOD, ON",89 BALSAM STREET,,89 BALSAM STREET,COLLINGWOOD,ON,L9Y 3Y6
109,"CAP-DE-LA-MADELEINE, QC",350 RUE BARKOFF,,350 RUE BARKOFF,TROIS RIVIERES,QC,G8T 9P5
110,"TILLSONBURG, ON",248 BROADWAY STREET,,248 BROADWAY STREET,TILLSONBURG,ON,N4G 3R4
111,"TIMMINS, ON",2199 RIVERSIDE DRIVE,,2199 RIVERSIDE DRIVE,TIMMINS,ON,P4R 0A1
112,"TRENTON, ON",285 DUNDAS ST. E.,,285 DUNDAS ST. E.,TRENTON,ON,K8V 1M1
113,"TRURO, NS",90 ROBIE STREET,FUNDY TRAIL MALL,"90 ROBIE STREET,  FUNDY TRAIL MALL",TRURO,NS,B2N 1L1
114,"VAL D'OR, QC",1806 3RD AVENUE,,1806 3RD AVENUE,VAL D'OR,QC,J9P 7A9
115,"VALLEYFIELD, QC",1770 BOUL. MONSEIGNEUR-LANGLOIS,,1770 BOUL. MONSEIGNEUR-LANGLOIS,SALABERRY-DE-VALLEYFIELD,QC,J6S 5R1
117,"VERDUN, QC",3180 RUE WELLINGTON,,3180 RUE WELLINGTON,VERDUN,QC,H4G 1T3
118,"WELLAND, ON",158 PRIMEWAY DRIVE,,158 PRIMEWAY DRIVE,WELLAND,ON,L3B 0A1
119,"WESTON ROAD & 401, ON",2625B WESTON ROAD,,2625B WESTON ROAD,NORTH YORK,ON,M9N 3W1
120,"MORRISBURG, ON",12329 COUNTY RD 2,,12329 COUNTY RD 2,MORRISBURG,ON,K0C 1X0
121,"WINDSOR UNIVERSITY PLAZA, ON",2650 TECUMSEH RD WEST,UNIVERSITY PLAZA,"2650 TECUMSEH RD WEST,  UNIVERSITY PLAZA",WINDSOR,ON,N9B 3R1
122,"BURLINGTON FAIRVIEW, ON",777 GUELPH LINE,,777 GUELPH LINE,BURLINGTON,ON,L7R 3N2
124,"WOODSTOCK, ON",465 NORWICH AVENUE,,465 NORWICH AVENUE,WOODSTOCK,ON,N4S 9A2
125,"YARMOUTH, NS",120 STARRS ROAD,,120 STARRS ROAD,YARMOUTH,NS,B5A 4T3
126,"YONGE & STEELES, ON",6310 YONGE STREET,CENTREPOINT MALL,"6310 YONGE STREET,  CENTREPOINT MALL",WILLOWDALE,ON,M2M 3X4
127,"UXBRIDGE, ON",327 TORONTO STREET SOUTH,,327 TORONTO STREET SOUTH,UXBRIDGE,ON,L9P 1Z7
128,"PORT COLBORNE, ON",287 WEST SIDE ROAD,PORT COLBORNE MALL,"287 WEST SIDE ROAD,  PORT COLBORNE MALL",PORT COLBORNE,ON,L3K 5L2
129,"HAMILTON CENTRE, ON",1283 BARTON ST. E.,HAMILTON CENTRE MALL,"1283 BARTON ST. E.,  HAMILTON CENTRE MALL",HAMILTON,ON,L8H 2V4
130,"LONDON EAST, ON",1975 DUNDAS STREET,,1975 DUNDAS STREET,LONDON,ON,N5V 4Y5
131,"SHAWINIGAN, QC",1555 RUE TRUDEL,,1555 RUE TRUDEL,SHAWINIGAN,QC,G9N 8K8
132,"SUMMERSIDE, PEI",474 GRANVILLE STREET,,474 GRANVILLE STREET,SUMMERSIDE,PE,C1N 4K6
133,"SASKATOON EAST, SK",1731 PRESTON AVENUE NORTH,,1731 PRESTON AVENUE NORTH,SASKATOON,SK,S7N 4V2
134,"KESWICK, ON",24270 WOODBINE AVENUE,,24270 WOODBINE AVENUE,KESWICK,ON,L4P 3E9
135,"WALLACEBURG, ON",74 MCNAUGHTON AVENUE,,74 MCNAUGHTON AVENUE,WALLACEBURG,ON,N8A 1R9
